Loading DNN model...
Model loaded
Initializing camera...
Camera started
Frame 1, FPS: 0.9, Objects: 0
Frame 2, FPS: 0.8, Objects: 0
Frame 3, FPS: 0.8, Objects: 0
Frame 4, FPS: 0.8, Objects: 0
Frame 5, FPS: 0.7, Objects: 0
Frame 6, FPS: 0.7, Objects: 0
Frame 7, FPS: 0.7, Objects: 0
Frame 8, FPS: 0.7, Objects: 0
Frame 9, FPS: 0.7, Objects: 0
Frame 10, FPS: 0.7, Objects: 0
Frame 11, FPS: 0.7, Objects: 0
Frame 12, FPS: 0.7, Objects: 0
Frame 13, FPS: 0.7, Objects: 0
Frame 14, FPS: 0.7, Objects: 0
Frame 15, FPS: 0.7, Objects: 0
Frame 16, FPS: 0.7, Objects: 0
Frame 17, FPS: 0.7, Objects: 0
Frame 18, FPS: 0.7, Objects: 0
Frame 19, FPS: 0.7, Objects: 0
Frame 20, FPS: 0.7, Objects: 0
Frame 21, FPS: 0.7, Objects: 0
Frame 22, FPS: 0.7, Objects: 0
Frame 23, FPS: 0.7, Objects: 0
Frame 24, FPS: 0.7, Objects: 0
Frame 25, FPS: 0.7, Objects: 0
Frame 26, FPS: 0.7, Objects: 0
Frame 27, FPS: 0.7, Objects: 0
Frame 28, FPS: 0.7, Objects: 0
Frame 29, FPS: 0.7, Objects: 0
Frame 30, FPS: 0.7, Objects: 0
Frame 31, FPS: 0.7, Objects: 0
